fold,model,score,loss,roc_auc,fit_predict_time
1,AutoGluon_Tabular_with_text,0.5780339130828895,0.29399591780663714,,375.41147327423096
1,AutoGluon_Tabular_without_text,0.49859455442425993,0.32047713475851686,,398.89222621917725
2,AutoGluon_Tabular_with_text,0.6292082124114997,0.2639635003867461,,392.30791306495667
2,AutoGluon_Tabular_without_text,0.5656424944525702,0.2856949019237566,,389.14082288742065
3,AutoGluon_Tabular_with_text,0.5831813668195582,0.2834658378417175,,383.6280632019043
3,AutoGluon_Tabular_without_text,0.4589850008581883,0.3229474184316163,,393.092725276947
4,AutoGluon_Tabular_with_text,0.5539963166672524,0.2627430316865342,,389.457959651947
4,AutoGluon_Tabular_without_text,0.5074784185080389,0.27610521956836526,,389.09369802474976
5,AutoGluon_Tabular_with_text,0.5870416554034069,0.2752228869040236,,384.80347442626953
5,AutoGluon_Tabular_without_text,0.5304983176159133,0.2934607338782578,,386.3245451450348
