fold,model,score,loss,roc_auc,fit_predict_time
1,AutoGluon_Tabular_with_text,0.4726925339633745,2071.628383753923,,385.55309009552
1,AutoGluon_Tabular_without_text,0.3676441201543936,2268.6143406098863,,370.0876021385193
2,AutoGluon_Tabular_with_text,0.47582332694450347,2766.2372543848705,,388.71969652175903
2,AutoGluon_Tabular_without_text,0.4363887340953415,2868.4046221469725,,393.3139793872833
3,AutoGluon_Tabular_with_text,0.5226626217674335,1693.5039285451667,,391.4995377063751
3,AutoGluon_Tabular_without_text,0.5126358374587796,1711.1980718491072,,370.4908447265625
4,AutoGluon_Tabular_with_text,0.47737206305614166,3592.47498216955,,389.9206213951111
4,AutoGluon_Tabular_without_text,0.4809442907095458,3580.176421510045,,366.67928314208984
5,AutoGluon_Tabular_with_text,0.35155927832329315,2442.1079357730473,,391.21528458595276
5,AutoGluon_Tabular_without_text,0.44446416111201337,2260.4023774852517,,369.8324394226074
